Layer Number,Layer Name,Min Singular Value,Max Singular Value,Mean Singular Value,Median Singular Value
32,mlp.down_proj,0.24989317,3.8651714,1.3137774,1.2535273
33,self_attn.q_proj,7.3374426e-06,3.4049006,0.5828792,0.4668638
33,self_attn.k_proj,0.07330775,2.1194737,0.6873108,0.6173358
33,self_attn.v_proj,0.24544568,1.5437099,0.8004641,0.7849488
33,self_attn.o_proj,1.538083e-05,3.7421045,0.6069465,0.49845868
33,mlp.gate_proj,0.20773526,5.0927873,1.1827903,1.1371624
33,mlp.up_proj,0.3103773,4.2268534,1.3470788,1.3119445
33,mlp.down_proj,0.31867513,4.1047196,1.328809,1.2776787
34,self_attn.q_proj,0.00013571398,3.7519891,0.5309802,0.416579
34,self_attn.k_proj,0.07851419,2.3283029,0.55985516,0.4604144
34,self_attn.v_proj,0.31430492,1.9962026,0.895014,0.8871645
34,self_attn.o_proj,1.3601943e-05,4.9259663,0.6698657,0.5748502
34,mlp.gate_proj,0.16998357,5.968977,1.1585969,1.1124754
34,mlp.up_proj,0.19954339,4.788035,1.3463311,1.308033
34,mlp.down_proj,0.19779742,3.491921,1.3383007,1.2960422
35,self_attn.q_proj,3.0240622e-05,2.934586,0.5127206,0.3978653
35,self_attn.k_proj,0.066088334,1.9725527,0.54902697,0.47365314
35,self_attn.v_proj,0.20308962,1.8102251,0.9195862,0.91204786
35,self_attn.o_proj,0.00010286608,5.21382,0.65220773,0.5143953
35,mlp.gate_proj,0.23494028,6.6599655,1.14369,1.1002281
35,mlp.up_proj,0.2721927,6.1902227,1.3548772,1.3131924
35,mlp.down_proj,0.2600621,3.932895,1.357239,1.318845
36,self_attn.q_proj,4.7894802e-05,3.9968615,0.48974514,0.3736099
36,self_attn.k_proj,0.080514215,2.0217018,0.48404235,0.37840742
36,self_attn.v_proj,0.29242545,2.463551,0.99666524,0.92833745
36,self_attn.o_proj,5.0824903e-05,5.289085,0.71549463,0.62454545
36,mlp.gate_proj,0.19445919,8.695432,1.1306262,1.0852966
36,mlp.up_proj,0.2378204,6.575149,1.3390807,1.2934431
36,mlp.down_proj,0.18332724,3.8985896,1.3488233,1.3090538
37,self_attn.q_proj,5.1641902e-05,3.3527405,0.4829946,0.36563063
37,self_attn.k_proj,0.06563886,1.853267,0.49120048,0.41888326
37,self_attn.v_proj,0.23879382,2.5863042,1.0732782,0.98030096
37,self_attn.o_proj,2.3882652e-05,5.2702003,0.746498,0.659716
37,mlp.gate_proj,0.22569697,6.9360623,1.1337976,1.0819564
37,mlp.up_proj,0.26129487,5.858247,1.338995,1.2903454
37,mlp.down_proj,0.20805451,3.7909093,1.353864,1.3215275
38,self_attn.q_proj,2.3275708e-05,3.8722334,0.42265642,0.31188092
38,self_attn.k_proj,0.061178576,1.8760163,0.37963063,0.29169905
38,self_attn.v_proj,0.18367074,3.217404,1.2577534,1.133485
38,self_attn.o_proj,0.00013746535,6.005896,0.7915963,0.6996918
38,mlp.gate_proj,0.25302005,6.4071426,1.1649363,1.1107118
38,mlp.up_proj,0.25480735,6.722851,1.328147,1.271179
38,mlp.down_proj,0.29672632,3.9630578,1.333787,1.2933314
39,self_attn.q_proj,8.434915e-06,3.6125758,0.4225835,0.3331306
39,self_attn.k_proj,0.0510663,2.175424,0.37537205,0.3123255
39,self_attn.v_proj,0.22217913,1.814958,1.2071979,1.2102621
39,self_attn.o_proj,0.000226138,6.419042,0.8001152,0.699445
39,mlp.gate_proj,0.19012944,9.166147,1.2322266,1.1600941
39,mlp.up_proj,0.14804795,10.05468,1.3539327,1.2726991
39,mlp.down_proj,0.5094895,8.685886,1.2666175,1.1995896
